Product Name;Product ID;Category;Sub-Category;Sales
Bush Somerset Collection Bookcase;FUR-BO-10001798;Furniture;Bookcases;261.96
Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;FUR-CH-10000454;Furniture;Chairs;731.94
Self-Adhesive Address Labels for Typewriters by Universal;OFF-LA-10000240;Office Supplies;Labels;14.62
Bretford CR4500 Series Slim Rectangular Table;FUR-TA-10000577;Furniture;Tables;9.575.775
Eldon Fold 'N Roll Cart System;OFF-ST-10000760;Office Supplies;Storage;22.368
Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;FUR-FU-10001487;Furniture;Furnishings;48.86
Newell 322;OFF-AR-10002833;Office Supplies;Art;7.28
Mitel 5320 IP Phone VoIP phone;TEC-PH-10002275;Technology;Phones;907.152
DXL Angle-View Binders with Locking Rings by Samsill;OFF-BI-10003910;Office Supplies;Binders;18.504
Belkin F5C206VTEL 6 Outlet Surge;OFF-AP-10002892;Office Supplies;Appliances;114.9
Chromcraft Rectangular Conference Tables;FUR-TA-10001539;Furniture;Tables;1.706.184
Konftel 250 ConferenceÂ phoneÂ - Charcoal black;TEC-PH-10002033;Technology;Phones;911.424
Xerox 1967;OFF-PA-10002365;Office Supplies;Paper;15.552
Fellowes PB200 Plastic Comb Binding Machine;OFF-BI-10003656;Office Supplies;Binders;407.976
Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;OFF-AP-10002311;Office Supplies;Appliances;68.81
Storex DuraTech Recycled Plastic Frosted Binders;OFF-BI-10000756;Office Supplies;Binders;2.544
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";OFF-ST-10004186;Office Supplies;Storage;665.88
Fellowes Super Stor/Drawer;OFF-ST-10000107;Office Supplies;Storage;55.5
Newell 341;OFF-AR-10003056;Office Supplies;Art;8.56
Cisco SPA 501G IP Phone;TEC-PH-10001949;Technology;Phones;213.48
"Wilson Jones Hanging View Binder, White, 1""";OFF-BI-10002215;Office Supplies;Binders;22.72
Newell 318;OFF-AR-10000246;Office Supplies;Art;19.46
Acco Six-Outlet Power Strip, 4' Cord Length;OFF-AP-10001492;Office Supplies;Appliances;60.34
Global Deluxe Stacking Chair, Gray;FUR-CH-10002774;Furniture;Chairs;71.372
Bretford CR4500 Series Slim Rectangular Table;FUR-TA-10000577;Furniture;Tables;1044.63
Wilson Jones Active Use Binders;OFF-BI-10001634;Office Supplies;Binders;11.648
ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive;TEC-AC-10003027;Technology;Accessories;90.57
Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;FUR-BO-10004834;Furniture;Bookcases;3083.43
Avery Recycled Flexi-View Covers for Binding Systems;OFF-BI-10000474;Office Supplies;Binders;9.618
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";FUR-FU-10004848;Furniture;Furnishings;124.2
Poly String Tie Envelopes;OFF-EN-10001509;Office Supplies;Envelopes;3.264
BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;OFF-AR-10004042;Office Supplies;Art;86.304
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";OFF-BI-10001525;Office Supplies;Binders;6.858
Lumber Crayons;OFF-AR-10001683;Office Supplies;Art;15.76
Easy-staple paper;OFF-PA-10000249;Office Supplies;Paper;29.472
GE 30524EE4;TEC-PH-10004977;Technology;Phones;1.097.544
